Name;Link
Pietro_della_Vigna;https://en.wikipedia.org/wiki/Pietro_della_Vigna
Jeremy_Wade_Delle;https://en.wikipedia.org/wiki/Jeremy_Wade_Delle
Peter_Delmé_(MP_for_Southampton);https://en.wikipedia.org/wiki/Peter_Delmé_(MP_for_Southampton)
Brad_Delp;https://en.wikipedia.org/wiki/Brad_Delp
Edwin_Denby_(poet);https://en.wikipedia.org/wiki/Edwin_Denby_(poet)
Winfred_Thaxter_Denison;https://en.wikipedia.org/wiki/Winfred_Thaxter_Denison
Karl_Denke;https://en.wikipedia.org/wiki/Karl_Denke
Jerry_Desmonde;https://en.wikipedia.org/wiki/Jerry_Desmonde
Frederick_Van_Rensselaer_Dey;https://en.wikipedia.org/wiki/Frederick_Van_Rensselaer_Dey
Diaeus;https://en.wikipedia.org/wiki/Diaeus
